category_slug,category_label,category_desc,turnaround,item_name,item_code
startups,Startup registration,"The right legal structure for a new or growing business, registered end to end with the required documentation.",5–15 days,Proprietorship,REG-01
startups,Startup registration,"The right legal structure for a new or growing business, registered end to end with the required documentation.",5–15 days,Partnership firm,REG-02
startups,Startup registration,"The right legal structure for a new or growing business, registered end to end with the required documentation.",5–15 days,One Person Company (OPC),REG-03
startups,Startup registration,"The right legal structure for a new or growing business, registered end to end with the required documentation.",5–15 days,Limited Liability Partnership (LLP),REG-04
startups,Startup registration,"The right legal structure for a new or growing business, registered end to end with the required documentation.",5–15 days,Private Limited Company,REG-05
startups,Startup registration,"The right legal structure for a new or growing business, registered end to end with the required documentation.",5–15 days,Section 8 Company (NGO),REG-06
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,GST registration,LIC-01
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,GST registration for NRI,LIC-02
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,EPF registration,LIC-03
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,ESI registration,LIC-04
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,Udyam registration (MSME),LIC-05
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,Import & Export Code (IEC),LIC-06
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,Professional tax registration,LIC-07
registrations,Registrations,"The licenses and IDs that let a registered business legally trade, hire and import or export.",3–10 days,Digital Signature Certificate (DSC),LIC-08
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST registration,GST-01
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST monthly filings (GSTR-1, 3B),GST-02
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST annual filings (GSTR-9 / 9C),GST-03
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST amendments,GST-04
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST audits,GST-05
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST refunds,GST-06
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST assessment support,GST-07
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,LUT filing,GST-08
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GST cancellation / surrender,GST-09
gst,GST services,"Ongoing GST compliance — from first registration through audits, refunds and cancellation.",Monthly / annual,GSTR-10 filing,GST-10
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,Salary (ITR-1),ITR-01
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,House property,ITR-02
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,Business & profession (ITR-3/4),ITR-03
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,Capital gains,ITR-04
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,Income from other sources,ITR-05
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,TDS return filing,ITR-06
income-tax,Income tax,"Return filing across income types, plus TDS returns and forward-looking tax planning.",ITR filing,Tax planning & advisory,ITR-07
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,GST monthly returns,BK-01
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,GST input & output reconciliation,BK-02
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,TDS payments & returns,BK-03
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,EPF monthly returns,BK-04
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,ESI monthly returns,BK-05
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,MSME returns,BK-06
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,Professional tax filings,BK-07
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,Tally accounting,BK-08
bookkeeping,Bookkeeping,"Day-to-day accounting and statutory returns kept current, so year-end is never a scramble.",Monthly,Bank statement reconciliation,BK-09
